s.id,s
"""544""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667403, tau: 0.01771, J: 1.5, Omega: -0.5, v: 3, Epsilon: -0.5, id: ""544"", state: ""X2Sigma+"", Lambda: 0, energy: 2551.0341}"
"""5641""","{ef: ""f"", gi: 48, parity: ""+"", g: -0.080088, tau: 384.55, J: 11.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""5641"", state: ""X2Sigma+"", Lambda: 0, energy: 60.5288}"
"""5642""","{ef: ""f"", gi: 48, parity: ""+"", g: -0.080088, tau: 0.052206, J: 11.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""5642"", state: ""X2Sigma+"", Lambda: 0, energy: 916.0056}"
"""5643""","{ef: ""f"", gi: 48, parity: ""+"", g: -0.080089, tau: 0.026361, J: 11.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""5643"", state: ""X2Sigma+"", Lambda: 0, energy: 1765.8244}"
"""5644""","{ef: ""f"", gi: 48, parity: ""+"", g: -0.080089, tau: 0.017747, J: 11.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""5644"", state: ""X2Sigma+"", Lambda: 0, energy: 2609.9884}"
"""566""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.798883, tau: 3.2731e-8, J: 1.5, Omega: -1.5, v: 0, Epsilon: -0.5, id: ""566"", state: ""A2Pi"", Lambda: -1, energy: 16724.140704}"
"""5661""","{ef: ""f"", gi: 48, parity: ""+"", g: 0.050106, tau: 0.012742, J: 11.5, Omega: 2.5, v: 0, Epsilon: 0.5, id: ""5661"", state: ""Ap2Delta"", Lambda: 2, energy: 14904.971046}"
"""5697""","{ef: ""f"", gi: 48, parity: ""+"", g: -0.079833, tau: 3.0746e-8, J: 11.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""5697"", state: ""B2Sigma"", Lambda: 0, energy: 20800.64844}"
"""5911""","{ef: ""e"", gi: 48, parity: ""-"", g: 0.087053, tau: 523.18, J: 11.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""5911"", state: ""X2Sigma+"", Lambda: 0, energy: 51.216583}"
"""5912""","{ef: ""e"", gi: 48, parity: ""-"", g: 0.087053, tau: 0.052139, J: 11.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""5912"", state: ""X2Sigma+"", Lambda: 0, energy: 906.7359}"
"""5931""","{ef: ""e"", gi: 48, parity: ""-"", g: 0.050106, tau: 0.012742, J: 11.5, Omega: -2.5, v: 0, Epsilon: -0.5, id: ""5931"", state: ""Ap2Delta"", Lambda: -2, energy: 14904.971046}"
