s.id,s
1295,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.024271, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 20, id: 1295, Lambda: 0, energy: 28739.496859}"
1299,"{gtot: 9, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.021605, parity_rot: ""e"", J: 4, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 21, id: 1299, Lambda: 0, energy: 29726.225457}"
1490,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.00001315, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 0, id: 1490, Lambda: -1, energy: 8300.549519}"
1496,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010632, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 1, id: 1496, Lambda: -1, energy: 9884.25433}"
1502,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.0000089616, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 2, id: 1502, Lambda: -1, energy: 11443.740558}"
1509,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.0000077852, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 3, id: 1509, Lambda: -1, energy: 12978.952541}"
1625,"{gtot: 9, el_state: ""A1Piu"", Sigma: 0, tau: 0.000003662, parity_rot: ""f"", J: 4, parity_tot: ""-"", gLande: 0.05, Omega: -1, v: 24, id: 1625, Lambda: -1, energy: 39394.434208}"
1659,"{gtot: 11, el_state: ""B1Deltag"", Sigma: 0, tau: 0.00010117, parity_rot: ""f"", J: 5, parity_tot: ""+"", gLande: 0.1333, Omega: 2, v: 1, id: 1659, Lambda: 2, energy: 13286.783577}"
1830,"{gtot: 11, el_state: ""A1Piu"", Sigma: 0, tau: 0.000013162, parity_rot: ""e"", J: 5, parity_tot: ""-"", gLande: 0.0333, Omega: -1, v: 0, id: 1830, Lambda: -1, energy: 8316.62324}"
1835,"{gtot: 11, el_state: ""A1Piu"", Sigma: 0, tau: 0.00001064, parity_rot: ""e"", J: 5, parity_tot: ""-"", gLande: 0.0333, Omega: -1, v: 1, id: 1835, Lambda: -1, energy: 9900.156713}"
1840,"{gtot: 11, el_state: ""A1Piu"", Sigma: 0, tau: 0.0000089685, parity_rot: ""e"", J: 5, parity_tot: ""-"", gLande: 0.0333, Omega: -1, v: 2, id: 1840, Lambda: -1, energy: 11459.471435}"
1847,"{gtot: 11, el_state: ""A1Piu"", Sigma: 0, tau: 0.000007791, parity_rot: ""e"", J: 5, parity_tot: ""-"", gLande: 0.0333, Omega: -1, v: 3, id: 1847, Lambda: -1, energy: 12994.511761}"
1964,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 1964, Lambda: 0, energy: 76.049252}"
1965,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1679.8, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 1965, Lambda: 0, energy: 1902.771206}"
1966,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1076.6, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 1966, Lambda: 0, energy: 3701.191165}"
1967,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 12.794, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 1967, Lambda: 0, energy: 5470.401987}"
1968,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000018164, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.3337, Omega: 1, v: 0, id: 1968, Lambda: 0, energy: 6292.029881}"
1969,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000018204, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: -0.286, Omega: 0, v: 0, id: 1969, Lambda: 0, energy: 6330.76687}"
1970,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.63587, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 1970, Lambda: 0, energy: 7209.244547}"
1971,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000014679, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.3337, Omega: 1, v: 1, id: 1971, Lambda: 0, energy: 7739.670659}"
1972,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000014709, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: -0.286, Omega: 0, v: 1, id: 1972, Lambda: 0, energy: 7777.983474}"
1973,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.18127, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 5, id: 1973, Lambda: 0, energy: 8916.169284}"
1974,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000012441, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.3337, Omega: 1, v: 2, id: 1974, Lambda: 0, energy: 9165.140996}"
1975,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000012464, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: -0.286, Omega: 0, v: 2, id: 1975, Lambda: 0, energy: 9203.029012}"
1976,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000010896, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.3334, Omega: 1, v: 3, id: 1976, Lambda: 0, energy: 10568.488466}"
1977,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.0037054, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: -0.0001, Omega: 0, v: 6, id: 1977, Lambda: 0, energy: 10589.095607}"
1978,"{gtot: 13, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000010926, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: -0.2855, Omega: 0, v: 3, id: 1978, Lambda: 0, energy: 10605.996488}"
1982,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1.6393, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 7, id: 1982, Lambda: 0, energy: 12225.248431}"
1983,"{gtot: 13, el_state: ""B1Deltag"", Sigma: 0, tau: 0.00010131, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0952, Omega: 2, v: 1, id: 1983, Lambda: 2, energy: 13304.038198}"
1986,"{gtot: 13, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.47496, parity_rot: ""e"", J: 6, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 8, id: 1986, Lambda: 0, energy: 13820.568925}"
